17,18,1,0.0007,0.0082,85.164,0.0082298,0.00056,0.00656,85.164,0.001264,0.015072,85.164
18,17,2,0.0007,0.0082,85.164,0.0082298,0.00056,0.00656,85.164,0.001008,0.012256,85.164
17,27,1,0.0013,0.0173,85.746,0.017349,0.00104,0.01384,85.746,0.001936,0.023248,85.746
27,17,2,0.0013,0.0173,85.746,0.017349,0.00104,0.01384,85.746,0.001488,0.019536,85.746
21,22,1,0.0008,0.014,86.774,0.014023,0.00064,0.0112,86.774,0.001024,0.017344,86.774
22,21,2,0.0008,0.014,86.774,0.014023,0.00064,0.0112,86.774,0.001152,0.01984,86.774
22,23,1,0.0006,0.0096,86.468,0.0096187,0.00048,0.00768,86.468,0.001888,0.03008,86.468
23,22,2,0.0006,0.0096,86.468,0.0096187,0.00048,0.00768,86.468,0.000992,0.01664,86.468
23,24,1,0.0022,0.035,86.447,0.035069,0.00176,0.028,86.447,0.001952,0.031776,86.447
24,23,2,0.0022,0.035,86.447,0.035069,0.00176,0.028,86.447,0.002144,0.034144,86.447
25,26,1,0.0032,0.0323,84.385,0.032458,0.00256,0.02584,84.385,0.003456,0.035248,84.385
26,25,2,0.0032,0.0323,84.385,0.032458,0.00256,0.02584,84.385,0.00704,0.031344,84.385
26,27,1,0.0014,0.0147,84.603,0.014767,0.00112,0.01176,84.603,0.001952,0.022832,84.603
27,26,2,0.0014,0.0147,84.603,0.014767,0.00112,0.01176,84.603,0.003168,0.032432,84.603
26,28,1,0.0043,0.0474,84.859,0.047595,0.00344,0.03792,84.859,0.004336,0.047584,84.859
28,26,2,0.0043,0.0474,84.859,0.047595,0.00344,0.03792,84.859,0.004336,0.047328,84.859
26,29,1,0.0057,0.0625,84.832,0.062759,0.00456,0.05,84.832,0.005456,0.059664,84.832
29,26,2,0.0057,0.0625,84.832,0.062759,0.00456,0.05,84.832,0.005456,0.059408,84.832
28,29,1,0.0014,0.0151,84.746,0.015165,0.00112,0.01208,84.746,0.004768,0.05208,84.746
29,28,2,0.0014,0.0151,84.746,0.015165,0.00112,0.01208,84.746,0.003872,0.042416,84.746
